//キャラLv毎の固有値

キャラLv	超電導	拡散	感電	氷砕き	過負荷
1	8	10	20	26	33
2	9	11	22	28	37
3	9	11	23	29	39
4	10	12	24	31	42
5	11	13	27	33	44
6	12	14	29	37	49
7	12	16	31	39	52
8	13	17	34	42	57
9	16	18	37	47	62
10	17	20	40	51	68
11	18	22	44	56	73
12	20	23	48	60	81
13	22	27	53	67	89
14	23	29	58	72	97
15	27	32	64	80	107
16	29	34	70	88	118
17	31	38	77	96	128
18	34	41	83	104	139
19	37	44	90	112	150
20	40	48	97	120	161
21	42	51	103	129	172
22	46	54	110	137	183
23	48	58	117	146	194
24	51	61	123	153	206
25	53	64	130	162	217
26	56	68	136	169	226
27	59	70	141	177	236
28	61	73	147	184	246
29	64	78	156	194	259
30	68	81	163	203	272
31	71	86	171	213	284
32	74	89	178	223	298
33	77	92	186	232	310
34	80	97	193	242	323
35	84	101	202	253	338
36	88	106	211	264	352
37	91	110	220	276	368
38	96	114	230	287	383
39	99	119	239	299	399
40	103	123	248	310	414
41	107	129	258	322	430
42	111	134	269	336	448
43	117	140	280	350	467
44	121	146	291	364	487
45	128	153	307	383	511
46	133	161	322	402	537
47	140	169	338	422	562
48	147	177	353	442	590
49	154	184	370	463	618
50	161	193	388	484	647
51	168	201	403	504	673
52	174	210	420	526	700
53	182	218	437	547	729
54	189	227	453	568	757
55	199	239	478	598	797
56	208	249	499	624	832
57	217	260	521	651	868
58	226	271	542	678	904
59	236	282	566	707	942
60	244	293	588	736	980
61	254	306	611	763	1019
62	266	319	639	799	1064
63	278	333	667	834	1112
64	290	348	696	870	1160
65	303	364	729	911	1216
66	314	378	756	944	1260
67	326	391	783	979	1306
68	337	404	810	1012	1350
69	348	418	837	1046	1394
70	360	431	863	1080	1440
71	371	444	890	1113	1484
72	382	459	918	1148	1530
73	391	470	941	1176	1568
74	401	481	963	1204	1607
75	414	498	997	1246	1661
76	427	512	1024	1281	1708
77	438	526	1052	1316	1754
78	450	540	1080	1350	1800
79	461	553	1108	1386	1847
80	472	568	1136	1419	1892
81	483	581	1162	1452	1937
82	494	594	1189	1486	1981
83	507	608	1216	1520	2027
84	518	621	1243	1553	2072
85	532	639	1279	1599	2132
86	544	653	1308	1634	2179
87	557	669	1338	1672	2229
88	570	684	1369	1712	2282
89	586	702	1406	1758	2343
90	601	721	1443	1803	2406

//元素熟知の元素反応ダメージボーナスの早見表
元素熟知	蒸発・溶解	過負荷 等	結晶シールド
80	15%	36%	24%
160	28.5%	68.4%	45.6%
240	40.7%	97.6%	65%
320	51.7%	124%	82.7%
400	61.7%	148.1%	98.8%

